Arp 2          48.57  2.30  0.45  0.36   RV
Arp 2         135.72  1.73  0.40  0.33   RV
BH 261         18.19  4.43  1.04  0.77  GDR2
BH 261         48.50  2.39  0.87  0.60  GDR2
BH 261        110.32  1.94  0.90  0.55  GDR2
Crater         21.35  1.93  0.97  0.71   RV
Djor 2         66.93  2.12  1.29  2.12  GDR2
Djor 2        159.60  3.78  1.27  0.91   RV
E 3            88.46  1.16  0.67  0.57   RV
E 3            92.44  0.00  0.82  0.00  GDR2
ESO 280-SC06   49.98  1.22  0.55  0.40   RV
ESO 452-SC11   39.55  1.16  0.36  0.25   RV
ESO 452-SC11   50.49  0.73  1.04  0.73  GDR2
FSR 1716       82.37  3.48  1.65  1.53  GDR2
FSR 1716      107.48  2.06  0.77  0.57   RV
HP 1           31.77  4.91  0.90  0.71   RV
HP 1           82.33  4.98  1.22  1.03  GDR2
IC 1276        47.86  3.61  0.79  0.78  GDR2
IC 1276        90.26  3.58  1.11  1.13  GDR2
IC 1276       139.40  2.89  0.66  0.51   RV
IC 4499        82.46  2.51  0.63  0.48   RV
IC 4499       106.73  1.77  0.69  0.57  GDR2
IC 4499       244.86  2.02  0.55  0.42   RV
Liller 1       14.09 20.03  3.49  2.71   RV
Liller 1       26.50 17.51  3.04  2.37   RV
Liller 1       34.57 19.94  6.09  4.36  GDR2
Liller 1       58.32 12.63  2.39  1.84   RV
Lynga 7        97.92  2.74  0.90  0.62   RV
Lynga 7        45.71  4.23  0.68  0.63  GDR2
Lynga 7       107.64  3.39  0.68  0.63  GDR2
Lynga 7       144.89  3.30  1.14  0.93  GDR2
NGC 104         4.20 12.37  1.05  0.89  K18
NGC 104         7.94 12.53  1.26  1.26  W15
NGC 104         8.90 13.10  0.96  0.81  K18
NGC 104        13.46 12.46  1.00  1.00  W15
NGC 104        13.60 12.29  0.53  0.51  K18
NGC 104        16.84 12.17  0.98  0.98  W15
NGC 104        18.71 10.59  0.66  0.60   RV
NGC 104        19.02 11.92  0.90  0.90  W15
NGC 104        21.90 12.23  0.31  0.31  K18
NGC 104        25.75 11.74  0.18  0.18  W15
NGC 104        32.93 12.16  0.22  0.22  W15
NGC 104        34.70 12.02  0.18  0.18  K18
NGC 104        38.19 11.86  0.24  0.24  W15
NGC 104        42.99 11.61  0.22  0.22  W15
NGC 104        47.42 11.80  0.20  0.20  W15
NGC 104        48.35 10.63  0.67  0.61   RV
NGC 104        51.64 11.28  0.19  0.19  W15
NGC 104        53.60 11.41  0.13  0.13  K18
NGC 104        55.71 11.82  0.21  0.21  W15
NGC 104        59.74 11.68  0.20  0.20  W15
NGC 104        63.69 11.42  0.19  0.19  W15
NGC 104        67.60 11.50  0.19  0.19  W15
NGC 104        71.47 11.37  0.22  0.22  W15
NGC 104        75.56 11.37  0.19  0.19  W15
NGC 104        79.69 11.17  0.23  0.23  W15
NGC 104        84.08 11.14  0.19  0.19  W15
NGC 104        84.58 11.09  0.68  0.62   RV
NGC 104        88.51 11.04  0.19  0.19  W15
NGC 104        93.08 10.79  0.17  0.17  W15
NGC 104        97.88 10.69  0.18  0.18  W15
NGC 104       103.52 10.39  0.18  0.18  W15
NGC 104       110.45 10.50  0.15  0.15  W15
NGC 104       121.50 10.88  0.67  0.60   RV
NGC 104       123.35 10.36  0.20  0.20  W15
NGC 104       132.92  9.31  0.40  0.37  GDR2
NGC 104       161.83  9.50  0.58  0.53   RV
NGC 104       205.13  9.04  0.56  0.50   RV
NGC 104       225.37  8.30  0.35  0.33  GDR2
NGC 104       246.43  8.48  0.52  0.47   RV
NGC 104       290.01  8.16  0.50  0.46   RV
NGC 104       313.56  9.03  0.38  0.35  GDR2
NGC 104       326.09  8.27  0.51  0.47   RV
NGC 104       359.26  7.53  0.46  0.43   RV
NGC 104       396.64  7.88  0.49  0.44   RV
NGC 104       403.27  8.17  0.33  0.32  GDR2
NGC 104       438.21  7.76  0.48  0.44   RV
NGC 104       485.09  7.07  0.44  0.40   RV
NGC 104       527.49  6.87  0.29  0.27  GDR2
NGC 104       534.72  6.96  0.43  0.39   RV
NGC 104       600.03  6.19  0.39  0.35   RV
NGC 104       682.21  6.32  0.27  0.25  GDR2
NGC 104       696.21  5.59  0.35  0.32   RV
NGC 104       837.38  5.53  0.35  0.32   RV
NGC 104       881.55  5.50  0.37  0.33  GDR2
NGC 104      1050.15  5.28  0.34  0.31   RV
NGC 104      1477.52  3.70  0.29  0.26   RV
NGC 288         6.45  3.79  0.42  0.42  W15
NGC 288        11.86  3.95  0.43  0.43  W15
NGC 288        17.90  3.81  0.36  0.36  W15
NGC 288        23.54  3.36  0.25  0.25  W15
NGC 288        28.82  3.39  0.25  0.25  W15
NGC 288        32.15  3.14  0.27  0.27  W15
NGC 288        36.18  2.95  0.24  0.24  W15
NGC 288        40.41  3.12  0.22  0.22  W15
NGC 288        43.67  3.11  0.24  0.24  W15
NGC 288        46.61  3.01  0.27  0.24   RV
NGC 288        46.68  3.30  0.25  0.25  W15
NGC 288        50.48  2.78  0.25  0.25  W15
NGC 288        53.81  2.56  0.21  0.21  W15
NGC 288        56.87  2.75  0.23  0.23  W15
NGC 288        59.81  3.07  0.26  0.26  W15
NGC 288        63.19  3.05  0.23  0.23  W15
NGC 288        66.45  3.14  0.20  0.20  W15
NGC 288        69.03  2.85  0.21  0.21  W15
NGC 288        72.08  2.68  0.21  0.21  W15
NGC 288        74.82  3.21  0.23  0.23  W15
NGC 288        78.41  3.44  0.23  0.23  W15
NGC 288        82.20  3.12  0.26  0.26  W15
NGC 288        87.72  3.46  0.27  0.27  W15
NGC 288        87.76  3.29  0.29  0.25   RV
NGC 288        99.57  3.24  0.21  0.21  W15
NGC 288       121.04  2.66  0.24  0.21   RV
NGC 288       128.52  3.09  0.37  0.33  GDR2
NGC 288       163.12  2.65  0.24  0.21   RV
NGC 288       209.07  2.61  0.23  0.21   RV
NGC 288       244.92  2.68  0.36  0.32  GDR2
NGC 288       274.83  2.47  0.25  0.21   RV
NGC 288       403.71  2.08  0.49  0.40  GDR2
NGC 288       409.40  1.66  0.25  0.21   RV
NGC 362         3.44  8.15  0.78  0.78  W15
NGC 362         3.80  7.66  0.69  0.58  K18
NGC 362         6.65  8.81  0.78  0.78  W15
NGC 362         7.80  9.03  0.66  0.64  K18
NGC 362         8.37  7.81  0.62  0.62  W15
NGC 362         9.33  7.87  0.70  0.70  W15
NGC 362        12.60  9.34  0.48  0.43  K18
NGC 362        12.89  7.92  0.23  0.23  W15
NGC 362        16.49  8.00  0.26  0.26  W15
NGC 362        18.91  8.66  0.28  0.28  W15
NGC 362        20.00  8.39  0.30  0.29  K18
NGC 362        21.84  8.20  0.19  0.19  W15
NGC 362        25.03  8.18  0.19  0.19  W15
NGC 362        28.01  8.60  0.21  0.21  W15
NGC 362        31.05  7.63  0.16  0.16  W15
NGC 362        31.60  7.77  0.21  0.21  K18
NGC 362        33.89  7.97  0.19  0.19  W15
NGC 362        36.73  7.83  0.18  0.18  W15
NGC 362        39.77  7.67  0.16  0.16  W15
NGC 362        42.09  6.67  0.64  0.55   RV
NGC 362        42.95  7.79  0.20  0.20  W15
NGC 362        46.19  7.64  0.17  0.17  W15
NGC 362        49.83  7.25  0.16  0.16  W15
NGC 362        53.38  7.62  0.17  0.17  W15
NGC 362        57.03  6.91  0.17  0.17  W15
NGC 362        60.87  7.07  0.16  0.16  W15
NGC 362        64.64  6.80  0.17  0.17  W15
NGC 362        68.54  6.77  0.15  0.15  W15
NGC 362        72.85  6.67  0.16  0.16  W15
NGC 362        77.46  6.83  0.16  0.16  W15
NGC 362        83.05  6.26  0.17  0.17  W15
NGC 362        86.89  6.34  0.61  0.53   RV
NGC 362        90.09  6.76  0.15  0.15  W15
NGC 362       125.62  6.01  0.58  0.50   RV
NGC 362       129.09  5.97  0.43  0.40  GDR2
NGC 362       173.28  4.87  0.48  0.41   RV
NGC 362       240.92  4.58  0.36  0.33  GDR2
NGC 362       251.40  4.06  0.41  0.35   RV
NGC 362       337.83  3.33  0.48  0.43  GDR2
NGC 362       385.13  3.20  0.37  0.32   RV
NGC 1261       37.87  3.74  0.42  0.36   RV
NGC 1261       73.45  3.76  0.43  0.36   RV
NGC 1261      114.95  3.59  0.42  0.35   RV
NGC 1261      189.01  2.70  0.32  0.27   RV
NGC 1261      318.06  2.14  0.49  0.37   RV
NGC 1851        4.00  9.09  0.81  0.70  K18
NGC 1851        7.20 10.39  0.71  0.65  K18
NGC 1851        7.89  8.44  0.93  0.93  W15
NGC 1851       11.80  9.54  0.46  0.42  K18
NGC 1851       12.96 10.01  0.36  0.36  W15
NGC 1851       16.52  9.01  0.36  0.36  W15
NGC 1851       18.50  8.60  0.26  0.26  K18
NGC 1851       18.97  9.98  0.41  0.41  W15
NGC 1851       21.90  9.14  0.27  0.27  W15
NGC 1851       25.08  8.30  0.27  0.27  W15
NGC 1851       28.29  8.45  0.27  0.27  W15
NGC 1851       29.40  8.24  0.17  0.18  K18
NGC 1851       31.28  8.79  0.28  0.28  W15
NGC 1851       33.94  8.53  0.24  0.24  W15
NGC 1851       36.45  7.74  0.25  0.25  W15
NGC 1851       39.12  8.02  0.26  0.26  W15
NGC 1851       41.58  7.29  0.24  0.24  W15
NGC 1851       44.18  7.21  0.23  0.23  W15
NGC 1851       46.73  7.59  0.23  0.23  W15
NGC 1851       49.32  7.47  0.20  0.20  W15
NGC 1851       50.67  6.40  0.59  0.51   RV
NGC 1851       51.93  7.27  0.21  0.21  W15
NGC 1851       54.83  6.87  0.22  0.22  W15
NGC 1851       57.70  6.63  0.21  0.21  W15
NGC 1851       60.98  6.65  0.19  0.19  W15
NGC 1851       64.67  6.42  0.18  0.18  W15
NGC 1851       68.47  6.04  0.19  0.19  W15
NGC 1851       72.62  5.73  0.18  0.18  W15
NGC 1851       78.09  5.80  0.17  0.17  W15
NGC 1851       85.02  5.43  0.50  0.44   RV
NGC 1851       88.78  5.56  0.17  0.17  W15
NGC 1851       99.21  5.78  0.66  0.57  GDR2
NGC 1851      112.58  5.24  0.49  0.42   RV
NGC 1851      145.52  4.83  0.45  0.39   RV
NGC 1851      183.41  5.12  0.48  0.42   RV
NGC 1851      205.80  3.89  0.62  0.56  GDR2
NGC 1851      232.30  3.68  0.34  0.30   RV
NGC 1851      297.75  3.88  0.36  0.31   RV
NGC 1851      353.63  1.91  0.75  0.78  GDR2
NGC 1851      441.76  3.28  0.31  0.27   RV
NGC 1904       31.24  3.81  0.44  0.37   RV
NGC 1904       57.68  4.17  0.48  0.41   RV
NGC 1904       79.13  3.83  0.44  0.37   RV
NGC 1904      103.00  3.68  0.42  0.36   RV
NGC 1904      133.50  3.47  0.39  0.33   RV
NGC 1904      176.79  2.82  0.35  0.30   RV
NGC 1904      237.05  2.73  0.32  0.27   RV
NGC 1904      383.32  2.23  0.32  0.27   RV
NGC 2298       44.66  2.59  0.44  0.38  GDR2
NGC 2298       61.89  2.03  0.53  0.42   RV
NGC 2298      123.42  2.04  0.59  0.57  GDR2
NGC 2298      172.15  2.36  0.73  0.55   RV
NGC 2419       25.81  6.70  0.87  0.72   RV
NGC 2419       65.76  2.95  0.47  0.40   RV
NGC 2419      109.69  2.41  0.43  0.35   RV
NGC 2419      159.66  2.03  0.31  0.26   RV
NGC 2419      251.10  1.23  0.37  0.30   RV
NGC 2808        4.76 14.64  1.32  1.32  W15
NGC 2808        4.80 13.94  1.12  1.00  K18
NGC 2808        9.60 13.60  0.92  0.89  K18
NGC 2808       12.79 14.76  0.55  0.55  W15
NGC 2808       15.20 13.33  0.56  0.53  K18
NGC 2808       16.70 13.98  0.50  0.50  W15
NGC 2808       19.17 13.48  0.52  0.52  W15
NGC 2808       23.75 14.03  0.24  0.24  W15
NGC 2808       23.80 13.43  0.35  0.35  K18
NGC 2808       29.80 13.41  0.26  0.26  W15
NGC 2808       34.71 13.53  0.29  0.29  W15
NGC 2808       37.80 12.50  0.24  0.22  K18
NGC 2808       38.99 13.34  0.24  0.24  W15
NGC 2808       42.61 12.40  0.20  0.20  W15
NGC 2808       45.92 12.43  0.19  0.19  W15
NGC 2808       49.15 12.17  0.21  0.21  W15
NGC 2808       50.24 10.48  0.64  0.58   RV
NGC 2808       52.38 12.11  0.23  0.23  W15
NGC 2808       54.00 11.33  0.22  0.22  K18
NGC 2808       55.39 12.11  0.22  0.22  W15
NGC 2808       58.46 12.04  0.20  0.20  W15
NGC 2808       61.76 11.63  0.21  0.21  W15
NGC 2808       64.80 11.81  0.23  0.23  W15
NGC 2808       67.67 11.04  0.18  0.18  W15
NGC 2808       70.79 11.12  0.20  0.20  W15
NGC 2808       74.06 10.93  0.20  0.20  W15
NGC 2808       77.68 10.44  0.20  0.20  W15
NGC 2808       81.60 10.59  0.20  0.20  W15
NGC 2808       85.99 10.58  0.18  0.18  W15
NGC 2808       91.92  9.88  0.18  0.18  W15
NGC 2808       93.13  9.98  0.61  0.55   RV
NGC 2808       95.37  9.81  0.52  0.48  GDR2
NGC 2808      102.49  9.78  0.17  0.17  W15
NGC 2808      133.48  9.04  0.56  0.50   RV
NGC 2808      141.64  8.79  0.50  0.46  GDR2
NGC 2808      179.99  8.01  0.47  0.44  GDR2
NGC 2808      180.97  7.81  0.48  0.44   RV
NGC 2808      227.95  7.64  0.46  0.43  GDR2
NGC 2808      246.51  7.81  0.48  0.44   RV
NGC 2808      290.52  6.64  0.45  0.42  GDR2
NGC 2808      361.30  7.42  0.47  0.43   RV
NGC 2808      406.98  5.13  0.39  0.37  GDR2
NGC 2808      572.78  4.42  0.78  0.69  GDR2
NGC 3201       44.53  3.40  0.30  0.26   RV
NGC 3201       57.75  4.24  0.25  0.23  GDR2
NGC 3201       88.62  3.75  0.32  0.29   RV
NGC 3201      101.07  4.01  0.25  0.23  GDR2
NGC 3201      131.38  3.61  0.25  0.23  GDR2
NGC 3201      133.39  3.72  0.33  0.29   RV
NGC 3201      157.37  3.70  0.25  0.24  GDR2
NGC 3201      188.06  3.73  0.26  0.24  GDR2
NGC 3201      191.16  3.73  0.32  0.28   RV
NGC 3201      220.80  2.93  0.23  0.22  GDR2
NGC 3201      257.12  3.50  0.25  0.24  GDR2
NGC 3201      272.56  3.06  0.27  0.24   RV
NGC 3201      291.08  3.11  0.23  0.22  GDR2
NGC 3201      335.01  2.95  0.25  0.23  GDR2
NGC 3201      384.09  3.06  0.24  0.23  GDR2
NGC 3201      414.91  3.27  0.29  0.25   RV
NGC 3201      460.78  2.70  0.22  0.20  GDR2
NGC 3201      763.04  2.46  0.33  0.28   RV
NGC 4147       39.38  1.75  0.36  0.28   RV
NGC 4147      174.86  1.54  0.36  0.27   RV
NGC 4372       72.97  4.32  0.25  0.23  GDR2
NGC 4372       87.36  4.60  0.51  0.43   RV
NGC 4372      135.30  4.24  0.26  0.24  GDR2
NGC 4372      168.78  4.06  0.45  0.38   RV
NGC 4372      179.44  4.22  0.25  0.23  GDR2
NGC 4372      234.84  4.06  0.24  0.23  GDR2
NGC 4372      268.80  3.37  0.37  0.32   RV
NGC 4372      310.55  3.39  0.21  0.20  GDR2
NGC 4372      418.52  2.96  0.20  0.19  GDR2
NGC 4372      466.45  3.06  0.34  0.29   RV
NGC 4372      543.28  2.77  0.28  0.25  GDR2
NGC 4590       55.41  3.42  0.40  0.34   RV
NGC 4590       71.36  3.55  0.46  0.44  GDR2
NGC 4590      120.56  2.96  0.34  0.29   RV
NGC 4590      192.97  2.50  0.30  0.25   RV
NGC 4590      262.24  2.17  0.44  0.44  GDR2
NGC 4590      311.85  1.97  0.25  0.21   RV
NGC 4590      529.37  1.90  0.34  0.27   RV
NGC 4833       64.82  4.58  0.54  0.45   RV
NGC 4833       72.40  4.28  0.33  0.30  GDR2
NGC 4833      128.39  4.45  0.34  0.31  GDR2
NGC 4833      137.11  3.51  0.42  0.35   RV
NGC 4833      176.09  3.37  0.29  0.26  GDR2
NGC 4833      224.08  3.91  0.32  0.30  GDR2
NGC 4833      256.22  3.59  0.42  0.35   RV
NGC 4833      318.49  3.33  0.31  0.28  GDR2
NGC 5024       66.82  4.23  0.43  0.38   RV
NGC 5024      111.26  4.44  0.69  0.64  GDR2
NGC 5024      159.29  3.72  0.40  0.34   RV
NGC 5024      263.97  3.14  0.33  0.29   RV
NGC 5024      308.49  3.54  0.94  0.94  GDR2
NGC 5024      473.68  2.19  0.24  0.21   RV
NGC 5024      917.77  1.37  0.42  0.30   RV
NGC 5053      106.17  1.32  0.30  0.23   RV
NGC 5053      178.84  1.39  0.30  0.23   RV
NGC 5053      374.18  0.92  0.23  0.18   RV
NGC 5139        2.28 17.77  1.92  1.92  W15
NGC 5139        3.90 22.82  1.97  1.74  K18
NGC 5139        4.33 20.06  2.01  2.01  W15
NGC 5139        6.02 22.85  1.48  1.48  W15
NGC 5139        7.10 18.23  1.25  1.15  K18
NGC 5139        7.87 20.35  1.22  1.22  W15
NGC 5139        9.47 20.18  1.19  1.19  W15
NGC 5139       11.40 17.57  0.79  0.74  K18
NGC 5139       12.40 19.73  0.65  0.65  W15
NGC 5139       16.13 20.06  0.72  0.72  W15
NGC 5139       18.20 18.22  0.53  0.53  K18
NGC 5139       18.78 19.00  0.75  0.75  W15
NGC 5139       28.80 18.41  0.33  0.34  K18
NGC 5139       29.91 18.59  0.19  0.19  W15
NGC 5139       41.53 18.93  0.89  0.82   RV
NGC 5139       43.94 18.32  0.20  0.20  W15
NGC 5139       45.40 17.98  0.22  0.22  K18
NGC 5139       54.51 17.99  0.21  0.21  W15
NGC 5139       63.38 17.65  0.18  0.18  W15
NGC 5139       68.90 18.09  0.21  0.21  K18
NGC 5139       71.50 17.87  0.19  0.19  W15
NGC 5139       75.33 16.94  0.80  0.73   RV
NGC 5139       78.80 17.57  0.19  0.19  W15
NGC 5139       85.65 17.27  0.19  0.19  W15
NGC 5139       92.19 16.95  0.18  0.18  W15
NGC 5139       97.66 16.52  0.78  0.72   RV
NGC 5139       98.41 17.09  0.18  0.18  W15
NGC 5139      104.18 16.87  0.19  0.19  W15
NGC 5139      109.72 16.13  0.18  0.18  W15
NGC 5139      110.90 16.61  0.24  0.22  K18
NGC 5139      115.15 16.72  0.18  0.18  W15
NGC 5139      118.13 15.75  0.73  0.69   RV
NGC 5139      120.67 16.50  0.19  0.19  W15
NGC 5139      125.90 16.37  0.18  0.18  W15
NGC 5139      131.32 16.23  0.16  0.16  W15
NGC 5139      136.88 15.99  0.17  0.17  W15
NGC 5139      137.06 16.78  0.79  0.73   RV
NGC 5139      142.98 15.82  0.16  0.16  W15
NGC 5139      150.20 15.56  0.16  0.16  W15
NGC 5139      155.46 15.28  0.72  0.67   RV
NGC 5139      162.18 15.53  0.15  0.15  W15
NGC 5139      179.46 14.26  0.54  0.52  GDR2
NGC 5139      180.76 15.17  0.71  0.66   RV
NGC 5139      211.67 15.33  0.72  0.67   RV
NGC 5139      236.84 15.08  0.16  0.16  W15
NGC 5139      247.50 14.26  0.67  0.62   RV
NGC 5139      265.77 13.95  0.54  0.51  GDR2
NGC 5139      287.51 13.53  0.63  0.59   RV
NGC 5139      309.54 13.65  0.54  0.51  GDR2
NGC 5139      328.41 13.44  0.63  0.59   RV
NGC 5139      338.09 12.42  0.49  0.47  GDR2
NGC 5139      375.55 11.95  0.57  0.52   RV
NGC 5139      386.02 10.84  0.47  0.45  GDR2
NGC 5139      441.32 12.67  0.59  0.56   RV
NGC 5139      448.47 10.83  0.43  0.41  GDR2
NGC 5139      510.43 11.01  0.52  0.48   RV
NGC 5139      580.38 11.83  0.56  0.52   RV
NGC 5139      669.71  9.58  0.37  0.35  GDR2
NGC 5139      785.96  9.80  0.47  0.43   RV
NGC 5139     1136.86  7.29  0.28  0.27  GDR2
NGC 5139     1195.82  8.39  0.39  0.37   RV
NGC 5139     1747.16  5.51  0.29  0.27  GDR2
NGC 5139     1787.24  7.41  0.45  0.41   RV
NGC 5272       16.74  8.12  0.75  0.66   RV
NGC 5272       45.60  6.90  0.68  0.60   RV
NGC 5272       73.86  6.52  0.64  0.55   RV
NGC 5272       80.15  6.87  0.46  0.42  GDR2
NGC 5272      105.73  5.48  0.54  0.47   RV
NGC 5272      130.90  6.00  0.44  0.40  GDR2
NGC 5272      137.22  5.37  0.53  0.46   RV
NGC 5272      175.45  4.83  0.38  0.35  GDR2
NGC 5272      177.93  4.72  0.48  0.42   RV
NGC 5272      232.85  4.52  0.38  0.35  GDR2
NGC 5272      243.95  4.35  0.43  0.37   RV
NGC 5272      317.79  3.83  0.51  0.46  GDR2
NGC 5272      350.70  4.58  0.45  0.38   RV
NGC 5272      537.85  2.39  0.24  0.21   RV
NGC 5272      901.04  2.49  0.37  0.31   RV
NGC 5286       11.06  8.85  0.68  0.60   RV
NGC 5286       24.80  8.17  0.63  0.56   RV
NGC 5286       37.88  8.09  0.62  0.56   RV
NGC 5286       60.07  7.33  0.57  0.50   RV
NGC 5286       75.13  6.97  0.72  0.65  GDR2
NGC 5286      166.23  6.79  0.83  0.69   RV
NGC 5286      173.85  4.64  0.68  0.63  GDR2
NGC 5286      296.51  2.59  1.04  1.05  GDR2
NGC 5466       77.60  1.34  0.27  0.22   RV
NGC 5466      181.99  1.11  0.21  0.17   RV
NGC 5466      487.34  1.05  0.23  0.19   RV
NGC 5634       55.85  3.56  0.60  0.48   RV
NGC 5634      132.26  2.97  0.57  0.45   RV
NGC 5694       51.95  4.82  0.79  0.62   RV
NGC 5694      110.20  2.97  0.53  0.43   RV
NGC 5694      191.53  2.28  0.42  0.33   RV
NGC 5824        0.52 13.32  1.76  1.76  K18
NGC 5824        1.82 11.18  0.85  0.85  K18
NGC 5824        3.63 11.22  0.70  0.70  K18
NGC 5824        7.59 10.86  0.55  0.55  K18
NGC 5824       25.12  8.31  0.62  0.62  K18
NGC 5824       48.67  7.76  1.03  0.85   RV
NGC 5824      109.19  4.46  0.60  0.49   RV
NGC 5824      171.96  4.43  3.10 11.97  GDR2
NGC 5824      200.10  4.12  0.56  0.45   RV
NGC 5824      314.70  2.66  0.48  0.37   RV
NGC 5897       83.81  3.17  0.33  0.29   RV
NGC 5897       96.98  2.90  0.77  0.80  GDR2
NGC 5897      156.35  2.98  0.32  0.28   RV
NGC 5897      199.26  3.02  0.66  0.66  GDR2
NGC 5897      224.51  2.42  0.28  0.25   RV
NGC 5897      337.25  2.37  0.31  0.27   RV
NGC 5904        2.68  7.16  0.70  0.70  W15
NGC 5904        3.40  7.33  0.81  0.70  K18
NGC 5904        5.05  8.80  0.70  0.70  W15
NGC 5904        6.10  8.25  0.77  0.70  K18
NGC 5904        7.26  7.65  0.63  0.63  W15
NGC 5904        9.12  8.01  0.70  0.70  W15
NGC 5904        9.90  7.91  0.49  0.46  K18
NGC 5904       11.75  7.10  0.39  0.39  W15
NGC 5904       15.26  6.78  0.33  0.33  W15
NGC 5904       15.60  8.02  0.35  0.32  K18
NGC 5904       18.63  7.06  0.38  0.38  W15
NGC 5904       21.35  7.95  0.39  0.39  W15
NGC 5904       23.90  7.75  0.44  0.44  W15
NGC 5904       24.60  6.95  0.21  0.20  K18
NGC 5904       26.47  7.95  0.38  0.38  W15
NGC 5904       28.79  7.49  0.37  0.37  W15
NGC 5904       31.00  8.04  0.44  0.44  W15
NGC 5904       33.37  7.93  0.40  0.40  W15
NGC 5904       36.09  7.42  0.35  0.35  W15
NGC 5904       38.88  7.32  0.31  0.31  W15
NGC 5904       41.63  7.17  0.35  0.35  W15
NGC 5904       44.80  6.95  0.34  0.34  W15
NGC 5904       47.84  7.38  0.39  0.39  W15
NGC 5904       51.03  7.20  0.36  0.36  W15
NGC 5904       54.23  7.74  0.37  0.37  W15
NGC 5904       57.60  6.90  0.32  0.32  W15
NGC 5904       59.98  6.62  0.42  0.39   RV
NGC 5904       61.52  7.41  0.41  0.41  W15
NGC 5904       66.53  7.46  0.41  0.41  W15
NGC 5904       70.63  6.40  0.40  0.36  GDR2
NGC 5904       71.61  7.17  0.31  0.31  W15
NGC 5904       76.22  7.70  0.39  0.39  W15
NGC 5904       82.93  6.84  0.31  0.31  W15
