# 2: kind of model (K=King, W=Wilson)
# 3: dimensionless central potential
# 6: core radius
# 9: scale radius
# 12: concentration (=log(rl/r0) )
# 15: limiting radius
# 18: 3d half-mass radius
# 21: effective radius
# 24: number of outermost points for the background determination
# 25: reduced chi^2
# all radii are in arcsec.
# <+|->d<name>: (plus|minus)uncertainties on the parameter <name>
#
# 1     2   3     4     5     6      7     8     9     10    11    12      13      14     15     16    17    18      19    20     21      22    23     24   25      
#NGCno. mod W0    +dW0  -dW0  rc     +drc  -drc  r0     +dr0  -dr0  c0      +dc0    -dc0   rl     +drl  -drl  rhm     +drhm -drhm  re      +dre  -dre   N_BG chi2_nu
104     K   8.100 0.050 0.0   28.06  0.0   0.23  28.99  0.0   0.25  1.864   0.015   0.0    2121   57    0.0   213.0   7.2   0.0    156.4   4.2   0.0    0    1.1    
104     W   7.900 0.050 0.15  29.74  0.51  0.17  31.53  0.65  0.22  3.097   0.030   0.11   39400  2500  7900  351     18    58     259     16    40     0    1.5    
##                                                                                                                                                                  
288     K   5.800 0.050 0.0   70     0.0   21    76     0.0   23    1.207   0.012   0.0    1230   0.0   350   185     0.0   54     138     0.0   41     2    1.7    
288     W   3.650 0.050 0.25  91.71  3.5   0.68  123.4  8.5   1.6   1.098   0.010   0.051  1547   17    76    178.00  1.9   0.32   135.49  1.7   0.29   2    0.15   
##
1851    K   8.40  0.15  0.15  5.41   0.13  0.10  5.56   0.14  0.11  1.953   0.044   0.044  500    41    36    51.4    5.2   4.5    37.5    3.7   3.2    0    0.88   
1851    W   8.70  0.15  0.20  5.53   0.13  0.11  5.77   0.16  0.13  3.3270  0.0029  0.015  12248  1.7   190   165     19    27     120     13    19     0    1.4    
##                                                                                                                                                                  
1904    K   7.750 0.050 0.10  9.43   0.58  0.28  9.79   0.62  0.30  1.757   0.015   0.031  559.1  2.4   5.2   56.6567 0.0   0.0049 41.680  0.083 0.030  3    0.86   
1904    W   6.65  0.15  0.10  10.99  0.39  0.56  12.09  0.47  0.68  2.143   0.098   0.061  1680   310   160   42.30   1.4   0.47   31.84   0.89  0.41   3    1.8    
##                                                                                                                                                                  
2419    K   6.950 0.050 0.0   16.4   0.0   6.2   17.3   0.0   6.5   1.513   0.015   0.0    560    0.0   200   64      0.0   23     48      0.0   17     2    2.1    
2419    W   5.85  0.15  0.15  19.33  0.43  0.42  22.00  0.67  0.63  1.731   0.065   0.061  1180   150   120   55.1    1.2   1.0    41.56   0.97  0.77   2    0.090  
##                                                                                                                                                                  
5024    K   7.550 0.050 0.0   22.40  0.0   0.58  23.34  0.0   0.63  1.695   0.016   0.0    1155   10    0.0   118.94  0.15  0.0    87.80   0.28  0.0    3    5.7    
5024    W   6.600 0.050 0.050 24.76  0.35  0.34  27.27  0.44  0.42  2.112   0.031   0.030  3530   210   180   93.11   0.86  0.80   70.00   0.73  0.65   3    0.57   
##                                                                                                                                                                  
5272    K   8.050 0.050 0.050 22.69  0.65  0.58  23.45  0.69  0.62  1.849   0.015   0.015  1655.4 15    9.1   166.71  1.1   0.80   122.07  1.1   0.77   1    2.3    
5272    W   6.85  0.10  0.10  26.24  0.62  0.58  28.64  0.78  0.72  2.276   0.071   0.068  5400   810   660   111.6   5.6   3.3    84.6    3.3   2.6    1    0.13   
##                                                                                                                                                                  
5466    K   6.20  0.10  0.10  72.2   2.9   2.7   77.9   3.4   3.2   1.306   0.026   0.026  1576   29    26    213.6   1.9   1.5    160.0   1.5   1.2    3    3.0    
5466    W   4.95  0.15  0.0   82     0.0   54    99     0.0   65    1.416   0.045   0.0    2600   0.0   1600  190     0.0   120    145     0.0   94     3    0.95   
##
