# Name, Nsb, SName, Prof, Simbad, _RA, _DE
AM 1,44,am1,Prof,Simbad,58.76125,-49.61444
Arp 2,16,arp2,Prof,Simbad,292.18379,-30.35564
HP 1,171,Cl Haute-Provence 1,Prof,Simbad,262.77167,-29.98167
IC 1276,78,ic1276,Prof,Simbad,272.68442,-7.20758
IC 4499,28,ic4499,Prof,Simbad,225.07737,-82.21378
NGC 104,206,ngc104,Prof,Simbad,6.02233,-72.08144
NGC 1261,135,ngc1261,Prof,Simbad,48.06754,-55.21622
NGC 1851,102,ngc1851,Prof,Simbad,78.52817,-40.04656
NGC 1904,366,ngc1904,Prof,Simbad,81.04412,-24.52425
NGC 2298,110,ngc2298,Prof,Simbad,102.24754,-36.00531
NGC 2419,352,ngc2419,Prof,Simbad,114.53546,38.88192
NGC 2808,315,ngc2808,Prof,Simbad,138.01292,-64.8635
NGC 288,98,ngc288,Prof,Simbad,13.1885,-26.58261
NGC 3201,84,ngc3201,Prof,Simbad,154.40342,-46.41247
NGC 362,251,ngc362,Prof,Simbad,15.80942,-70.84878
NGC 4147,291,ngc4147,Prof,Simbad,182.52562,18.54216
NGC 4372,24,ngc4372,Prof,Simbad,186.43929,-72.65908
NGC 4590,270,ngc4590,Prof,Simbad,189.86658,-26.74406
NGC 5024,237,ngc5024,Prof,Simbad,198.23021,18.16817
NGC 5053,136,ngc5053,Prof,Simbad,199.11287,17.70025
NGC 5139,73,ngc5139,Prof,Simbad,201.697,-47.47947
NGC 5272,95,ngc5272,Prof,Simbad,205.54842,28.37728
NGC 5286,99,ngc5286,Prof,Simbad,206.61171,-51.37425
NGC 5466,86,ngc5466,Prof,Simbad,211.36371,28.53444
NGC 5634,210,ngc5634,Prof,Simbad,217.40533,-5.97642
NGC 5694,160,ngc5694,Prof,Simbad,219.90217,-26.53833
NGC 5824,88,ngc5824,Prof,Simbad,225.99422,-33.06853
NGC 5897,99,ngc5897,Prof,Simbad,229.35167,-21.01011
NGC 5904,137,ngc5904,Prof,Simbad,229.63842,2.08103
NGC 5927,59,ngc5927,Prof,Simbad,232.00287,-50.67303
NGC 5946,18,ngc5946,Prof,Simbad,233.86908,-50.65972
NGC 5986,89,ngc5986,Prof,Simbad,236.5125,-37.78642
NGC 6093,277,ngc6093,Prof,Simbad,244.26004,-22.97608
NGC 6101,33,ngc6101,Prof,Simbad,246.4505,-72.20219
NGC 6121,255,ngc6121,Prof,Simbad,245.89675,-26.52575
NGC 6139,157,ngc6139,Prof,Simbad,246.91661,-38.84917
NGC 6144,79,ngc6144,Prof,Simbad,246.80775,-26.0235
NGC 6171,119,ngc6171,Prof,Simbad,248.13275,-13.05378
NGC 6205,136,ngc6205,Prof,Simbad,250.42347,36.46132
NGC 6218,158,ngc6218,Prof,Simbad,251.80908,-1.94853
NGC 6229,165,ngc6229,Prof,Simbad,251.74434,47.52677
NGC 6235,68,ngc6235,Prof,Simbad,253.35567,-22.17744
NGC 6254,171,ngc6254,Prof,Simbad,254.28771,-4.10031
NGC 6256,149,ngc6256,Prof,Simbad,254.88617,-37.12142
NGC 6266,239,ngc6266,Prof,Simbad,255.3025,-30.11236
NGC 6273,136,ngc6273,Prof,Simbad,255.65704,-26.26794
NGC 6284,171,ngc6284,Prof,Simbad,256.11978,-24.76423
NGC 6287,139,ngc6287,Prof,Simbad,256.28946,-22.70789
NGC 6293,242,ngc6293,Prof,Simbad,257.54342,-26.58172
NGC 6304,118,ngc6304,Prof,Simbad,258.63437,-29.46203
NGC 6316,118,ngc6316,Prof,Simbad,259.15592,-28.14
NGC 6325,152,ngc6325,Prof,Simbad,259.49696,-23.76603
NGC 6333,119,ngc6333,Prof,Simbad,259.79908,-18.51625
NGC 6341,116,ngc6341,Prof,Simbad,259.28079,43.13594
NGC 6342,240,ngc6342,Prof,Simbad,260.29225,-19.58742
NGC 6352,59,ngc6352,Prof,Simbad,261.37129,-48.42217
NGC 6355,111,ngc6355,Prof,Simbad,260.99437,-26.35342
NGC 6356,95,ngc6356,Prof,Simbad,260.89579,-17.81303
NGC 6362,59,ngc6362,Prof,Simbad,262.97912,-67.04833
NGC 6366,30,ngc6366,Prof,Simbad,261.93433,-5.07986
NGC 6380,84,ngc6380,Prof,Simbad,263.61667,-39.06917
NGC 6388,198,ngc6388,Prof,Simbad,264.07275,-44.73565
NGC 6397,364,ngc6397,Prof,Simbad,265.17537,-53.67433
NGC 6401,147,ngc6401,Prof,Simbad,264.65387,-23.90875
NGC 6402,91,ngc6402,Prof,Simbad,264.40062,-3.24592
NGC 6426,149,ngc6426,Prof,Simbad,266.22796,3.17014
NGC 6440,99,ngc6440,Prof,Simbad,267.21946,-20.35958
NGC 6441,158,ngc6441,Prof,Simbad,267.55442,-37.05144
NGC 6453,339,ngc6453,Prof,Simbad,267.71571,-34.59864
NGC 6496,30,ngc6496,Prof,Simbad,269.76533,-44.26594
NGC 6517,131,ngc6517,Prof,Simbad,270.4599,-8.95955
NGC 6522,303,ngc6522,Prof,Simbad,270.892,-30.03397
NGC 6528,167,ngc6528,Prof,Simbad,271.20671,-30.05578
NGC 6535,62,ngc6535,Prof,Simbad,270.96046,-0.29764
NGC 6539,101,ngc6539,Prof,Simbad,271.20725,-7.58586
NGC 6541,130,ngc6541,Prof,Simbad,272.00983,-43.71489
NGC 6544,281,ngc6544,Prof,Simbad,271.83575,-24.99733
NGC 6553,111,ngc6553,Prof,Simbad,272.31533,-25.90775
NGC 6558,86,ngc6558,Prof,Simbad,272.57658,-31.7635
NGC 6569,147,ngc6569,Prof,Simbad,273.412,-31.82644
NGC 6584,30,ngc6584,Prof,Simbad,274.65667,-52.21578
NGC 6624,295,ngc6624,Prof,Simbad,275.91879,-30.36103
NGC 6626,331,ngc6626,Prof,Simbad,276.13704,-24.86983
NGC 6637,71,ngc6637,Prof,Simbad,277.84625,-32.34808
NGC 6638,66,ngc6638,Prof,Simbad,277.73437,-25.49642
NGC 6642,90,ngc6642,Prof,Simbad,277.97596,-23.47614
NGC 6652,93,ngc6652,Prof,Simbad,278.94012,-32.99072
NGC 6656,150,ngc6656,Prof,Simbad,279.09975,-23.90475
NGC 6681,155,ngc6681,Prof,Simbad,280.80317,-32.29211
NGC 6712,65,ngc6712,Prof,Simbad,283.268,-8.70597
NGC 6715,237,ngc6715,Prof,Simbad,283.76387,-30.47986
NGC 6717,320,ngc6717,Prof,Simbad,283.77517,-22.70147
NGC 6723,205,ngc6723,Prof,Simbad,284.88812,-36.63225
NGC 6752,350,ngc6752,Prof,Simbad,287.71712,-59.98456
NGC 6760,98,ngc6760,Prof,Simbad,287.80025,1.03047
NGC 6779,175,ngc6779,Prof,Simbad,289.14821,30.18347
NGC 6809,125,ngc6809,Prof,Simbad,294.99879,-30.96475
NGC 6864,281,ngc6864,Prof,Simbad,301.52017,-21.92226
NGC 6934,109,ngc6934,Prof,Simbad,308.54737,7.40447
NGC 6981,113,ngc6981,Prof,Simbad,313.36542,-12.53731
NGC 7006,113,ngc7006,Prof,Simbad,315.37277,16.18791
NGC 7078,464,ngc7078,Prof,Simbad,322.49304,12.167
NGC 7089,294,ngc7089,Prof,Simbad,323.36258,-0.82325
NGC 7099,323,ngc7099,Prof,Simbad,325.09217,-23.17986
NGC 7492,109,ngc7492,Prof,Simbad,347.11117,-15.61147
Pal 1,19,pal 1,Prof,Simbad,53.3335,79.58106
Pal 10,8,pal 10,Prof,Simbad,289.50875,18.57167
Pal 11,35,pal 11,Prof,Simbad,296.31,-8.00722
Pal 12,59,pal 12,Prof,Simbad,326.66183,-21.25261
Pal 13,10,pal 13,Prof,Simbad,346.68533,12.772
Pal 14,12,pal 14,Prof,Simbad,242.74583,14.96167
Pal 2,13,pal 2,Prof,Simbad,71.52462,31.3815
Pal 3,10,pal 3,Prof,Simbad,151.379,0.07094
Pal 4,10,pal 4,Prof,Simbad,172.32,28.97361
Pal 5,24,pal 5,Prof,Simbad,229.02208,-0.11139
Pal 6,10,pal 6,Prof,Simbad,265.92583,-26.2225
Pal 8,87,pal 8,Prof,Simbad,280.37458,-19.82583
Terzan 1,103,terzan1,Prof,Simbad,263.94917,-30.46972
Terzan 1,10,terzan11,Prof,Simbad,273.06583,-22.74194
Terzan 2,81,terzan2,Prof,Simbad,261.8885,-30.80217
Terzan 5,68,terzan5,Prof,Simbad,267.02083,-24.78
Terzan 6,116,terzan6,Prof,Simbad,267.69333,-31.27528
Terzan 7,75,terzan7,Prof,Simbad,289.433,-34.65772
Terzan 9,76,terzan9,Prof,Simbad,270.41167,-26.83972
Ton 2,44,ton2,Prof,Simbad,264.04375,-38.55333
