REF239  Alter, G., Ruprecht, J., Vanysek, V., 1970, Catal. of star cl. and assoc. & Suppl., 2nd Ed., Akad. Kiado, Budapest                                                                                                                                                                                                                                                   |------------------- Cat. VII/5
REF103  Herbig, G. H., 1958, ApJ, 128, 259                                                                                                                                                                                                                                                                                                                                   |1958ApJ...128..259H
REF1743 Eggen, O. J. 1958, MNRAS, 118, 154                                                                                                                                                                                                                                                                                                                                   |1958MNRAS.118..154E
REF1737 Eggen, O., 1959, Obs, 79,88                                                                                                                                                                                                                                                                                                                                          |1959Obs....79...88E
REF1738 Eggen, O., Sandage, A., 1959, MNRAS,119,278                                                                                                                                                                                                                                                                                                                          |1959MNRAS.119..278S
REF3044 Manova, G. A. 1959, SvA, 3 188                                                                                                                                                                                                                                                                                                                                       |1959SvA.....3..188M
REF508  Blaauw, A., 1964, ARA&A, 2, 213                                                                                                                                                                                                                                                                                                                                      |1964ARA&A...2..213B
REF295  Loden, L. O., 1966, ArA, 4, 65                                                                                                                                                                                                                                                                                                                                       |1966ArA.....4...65L
REF927  van den Bergh, S. 1966, AJ, 71, 990                                                                                                                                                                                                                                                                                                                                  |1966AJ.....71..990V
REF213  Andrews, A.D., Lindsay, E.M., 1967, IrAJ, 8, 126                                                                                                                                                                                                                                                                                                                     |1967IrAJ....8..126A
REF286  Lindoff, U., 1968, ArA, 5, 63                                                                                                                                                                                                                                                                                                                                        |1968ArA.....5...63L
REF1739 Eggen, O., 1971, PASP, 83,271                                                                                                                                                                                                                                                                                                                                        |1971PASP...83..271E
REF1740 Eggen, O., 1971, PASP, 83, 251                                                                                                                                                                                                                                                                                                                                       |1971PASP...83..271E
REF240  Miller, E. W., 1972, AJ, 77, 216                                                                                                                                                                                                                                                                                                                                     |1972AJ.....77..216M
REF241  Miller, E. W., 1973, BAAS, 5, 326                                                                                                                                                                                                                                                                                                                                    |1973BAAS....5..326M
REF238  Loden, L. O., 1973, A&AS, 10, 125                                                                                                                                                                                                                                                                                                                                    |1973A&AS...10..125L
REF226  Sulentic, J.W., Tifft, W.G., 1973, The Revised New Gener. Catal. of Nonstellar Astron. Objects,The Univ. of Arizona Press                                                                                                                                                                                                                                            |1973rngc.book.....S
REF204  Muzzio, J.C., McCarthy, C.C., 1973, AJ, 78, 924                                                                                                                                                                                                                                                                                                                      |1973AJ.....78..924M
REF285  McCarthy, C. C., Miller, E. W., 1974, AJ, 79, 1396                                                                                                                                                                                                                                                                                                                   |1974AJ.....79.1396M
REF3096 Sersic, J. L. 1974, Ap&SS, 28, 365                                                                                                                                                                                                                                                                                                                                   |1974Ap&SS..28..365S
REF205  Muzzio, J.C., 1974, AJ, 79, 959                                                                                                                                                                                                                                                                                                                                      |1974AJ.....79..959M
REF3011 Hodge, P. W., Smith, D. W. 1974, ApJ, 188, 19                                                                                                                                                                                                                                                                                                                        |1974ApJ...188...19H
REF928  Herbst, W., 1975, AJ, 80, 212                                                                                                                                                                                                                                                                                                                                        |1975AJ.....80..212H
REF244  Moffat A.F.J., Vogt N., 1975, A&AS, 20,125                                                                                                                                                                                                                                                                                                                           |1975A&AS...20..125M
