OC,Assoc      1173 various,OCL         REF239
EC               1 Herbig 1            REF103 
KGr              2 epsi Indi,61 Cyg    REF1743
KGr              1 Gamma Leo           REF1737
KGr              1 Groombr. 1830       REF1738
EC               1 Manova 1            REF3044
Assoc            4 various             REF508 
EC               1 NGC 2467            REF295 
Assoc           14 R                   REF927 
OC               5 AL                  REF213 
EC               1 Lindoff             REF286 
OC,Assoc      1173 various,OCL         REF239 
KGr              1 Arcturus Group      REF1739
KGr              4 various             REF1740
EC               1 Miller              REF240 
EC               1 Miller              REF241 
EC,OC,EGr       45 Loden               REF238 
OC,Ast         149 NGC                 REF226 
Assoc            1 Nor I               REF204 
Assoc,EC         3 Assocs in Pup       REF285 
MHC              1 Reticulum           REF3096
Assoc            3 Nor II,III,IV       REF205 
DGAL             1 Fornax Dwarf 6 GCs  REF3011
Assoc           20 R                   REF928 
EC               3 Bochum              REF244 
OC             255 BH                  REF233 
EC,OC            7 Bochum              REF242 
OC               2 Bochum              REF246 
OC,lPOCR         6 Basel               REF228 
Assoc            1 VelaR2              REF923 
EC               1 Bochum              REF247 
Assoc            1 MonR2               REF924 
Assoc            1 CMaR1               REF925 
EC               1 BD+61d411           REF260 
EC               1 Turner 8            REF258 
EC               1 WLF                 REF994 
OC               4 Pfleiderer          REF207 
EC               1 NGC 5367            REF108 
EC               1 Basel               REF229 
EC               1 NGC3324             REF305 
Ast              1 Latyshev 2          REF955 
EC               2 Basel               REF230 
EGr,EC,ECC       3 MF1,Pis21,Moffat 2  REF232 
EC,Assoc         4 Muzzio 1 & others   REF215 
EC               1 Waterloo 6          REF236 
OC               1 PM 1                REF277 
OC,EC            5 Loden               REF280 
OC,EC,ECC       11 Loden               REF279 
EC,OCC           2 IC 4996,ADS         REF952 
EC,ECC,Ast       8 NGC6334 I to VI,E   REF128 
Assoc            3 various             REF227 
EC               3 Waterloo 1,2,3      REF235 
OC               1 AM 2                REF248 
Assoc            1 Turner-Sct OB       REF256 
EC,OC,ECC        4 TJ                  REF320 
OC,EC,ECC       10 Loden               REF281 
OC,Ast           2 Waterloo 7,8        REF237 
OC               1 Johansson 1         REF265 
EC,OCC           2 Loden               REF283 
EC               1 Ho-H 1,2,3          REF035 
OC               1 Loden 2326          REF201 
OC               1 UKS 2               REF249 
EC,OC            2 Loden 28,Loden 915  REF282 
OC               1 HM 1                REF211 
lPOCR,OCC,ECC    3 Ru77A,Ru78A,Bas 20  REF231 
EC               3 DIL 1,Manova 1      REF064 
EC               1 G333.6-0.2          REF070 
OC               1 Turner 7            REF269 
OC,GC          785 ESO,NGC,IC,OCL,GCL  REF234 
EC               2 Danks               REF251 
EC               2 W33,Teutsch 10      REF036 
EC,EGr           3 rho Oph,ECS,Group   REF416 
EC               1 Lupus Cluster       REF902 
EC               1 M17                 REF019 
EC               1 Turner 2            REF266 
Assoc            1 CasOB14             REF3048
EC               1 Turner 10           REF272 
EC               1 Turner 8            REF270 
EC               1 Turner 1            REF210 
EC               1 Collinder 68        REF261 
OC,EC            4 Frolov 1,others     REF206 
EC               1 RCW 108 Cluster     REF034 
EC               2 Bochum 10, 11       REF245 
cPOCR            1 AM0430-392          REF262 
Assoc            3 AraOB1A,B           REF218 
Assoc            1 VelaOB4             REF220 
MHC              1 OHSC 37             REF3093
EC               1 Sh2-140             REF077 
EGr              1 LDN 1501            REF062 
EC               1 Quintuplet          REF899 
EC               1 Stephenson 2        REF068 
EC               2 Quintuplet,DBSB120  REF094 
Ast              1 Brosch 1            REF101 
EC               4 M78,N2071;N2024,3   REF054 
EC               1 Galactic Nucl. Cl.  REF025 
EC               1 Sh2-106             REF050 
EC               1 W75N                REF038 
EC               6 Cha I N,S,others    REF065 
EC               1 GGD 7               REF005 
KGr              2 Magellan Bridg,SMC  REF3341
OC               1 Bochum 2            REF243 
EC               1 BGD 1               REF011 
EC,EGr,Assoc    11 various             REF061 
EC               2 NGC 2264 N,S        REF284 
EC               1 Arches              REF095 
EC               8 SSM1-8(in LDN1641)  REF056 
OC               1 Harvard 5           REF278 
EGr,EC          10 PTB 1 to 10         REF058 
EC               4 Turner 2,4,6,13     REF267 
EGr,EC,Assoc     7 LDN,TMC,others      REF063 
EC              20 CSS,others          REF001 
EC,Assoc         4 Turner 8,Vela T1,2  REF921 
EC               1 NGC 3576            REF012 
OC               6 Saurer 1-6          REF208 
EC               1 Platais             REF212 
EC              53 Hodapp              REF008 
EC               2 NGC1579,AB 1        REF006 
ECC,OCC          1 B                   REF316 
KGr              1 Sgr Stream          REF1720
EC               1 Trapezium           REF029 
EC               1 LDN1641 243         REF076 
EC               1 Dolidze 6           REF014 
EC               7 CSS,various         REF052 
OC               4 Cz 15,Mel 72,Tom 1  REF302 
DGAL             3 BS I,II,III         REF6000
EC               1 AY                  REF922 
ECC,PN+blg*s     3 B 1,TJ 23,TJ 5      REF317 
EC               1 Arches              REF910 
DGAL             1 Sagittarius Dwf     REF1203
EC               1 OMC 2               REF028 
OC            1151 various             REF2000
EGr,Assoc       71 ME,various          REF216 
EC               5 STO 1-5 in BRC=SFO  REF049 
EC,EGr           9 IC 348,IC 348a,i    REF026 
EC               2 NGC 6857,K3 50B     REF037 
EC               2 NGC 1333NE,SW       REF027 
EC               1 NGC6334 I           REF977 
Assoc            1 Cha III             REF744 
EC               1 W3 IRS5             REF018 
EC               2 Hodapp 12,SHD 1     REF053 
EC               1 NGC 2282            REF111 
EC               8 PL                  REF002 
EC               4 TPB1,2,3,Hodapp 15  REF040 
EC,OCC           2 Tokovonin,ADS       REF953 
EC               1 AFGL 4029           REF915 
EC               3 CTG 1,2,3           REF833 
EC               1 OMC 3               REF046 
EC               1 Turner 9            REF271 
OC               1 Kharchenko 1        REF276 
EC               3 Sh2-235A,B,C        REF3357
Ast              1 Upgren 1            REF308 
Assoc,OC,EGr    20 Platais,various     REF203 
OC,lPOCR,Ast     3 Turner 11,Rup 173   REF273 
Ast              1 Mandushev           REF315 
EC               1 M 17                REF020 
EC               3 W3 OH,TMW 1,2       REF023 
EC              23 TPN                 REF100 
EC               1 AB 1                REF933 
EC               1 RCW 38              REF033 
OCC,Ast          5 Chupina             REF1033
EC               1 Serpens SV4         REF042 
KGr              1 HR 1614             REF1075
EC               1 LDN 1495E           REF059 
EC               1 AB 1                REF007 
EC               1 FSH 1               REF017 
OC,EC,Ast        8 various             REF310 
KGr,Ast          3 Chereul 1,2,3       REF274 
DGAL             3 BS I,II,III         REF6001
KGr              1 Helmi Stream        REF1759
KGr              9 Subgroup A,B,C,D    REF1952
KGr              3 Subgroup B1,2,3,4   REF1951
EGr              1 Turner 8,Vela T1,2  REF921 
EC               2 Arches,Quintuplet   REF096 
EC               1 SGR 1806-20         REF105 
EC               1 Sh2-138             REF051 
EC               1 W 43                REF912 
KAs              1 TWA                 REF287 
EC               1 TPN 22              REF078 
EC               2 Shorlin             REF275 
EC               1 Serpens A           REF043 
EC               1 AFGL 5157           REF003 
EC               1 DR 18               REF057 
EC               1 Hodapp 11           REF030 
EC               1 AG 1                REF004 
Assoc            8 various             REF224 
OC               1 eta Chamaleontis    REF263 
Ast              1 M73                 REF292 
EC               1 SGR 1900+14         REF104 
EC,EGr           5 Serp A,C,D,SVS2,4   REF045 
KAs              1 HD 199143 Assoc     REF1715
EC               1 SYC 1,SYC 2         REF031 
Ast              1 M 73                REF293 
EC               2 PCS 1,PCS 2         REF136 
EC              12 MLG (cls. in Vela)  REF074 
EC              14 Carpent 1-3,others  REF032 
EC              19 CHS 1-12,others     REF066 
EC               1 W 42                REF013 
EC              58 DB 1 to DB 58       REF098 
KAs              1 Horologium Assoc    REF288 
KAs              1 TucA                REF304 
KAs              1 Corona Austr Assoc  REF501 
KAs              1 GAYA                REF500 
OC               1 eta Chamaleontis    REF264 
Assoc            1 ScoOB8              REF072 
cPOCR,KAs        3 beta Tuc Gr,TucA    REF980 
EC               1 W 31                REF914 
lPOCR,Ast,OC    32 various             REF289 
Ast,EC           2 Ru140,Pis 21        REF252 
lPOCR            2 NGC 1901,NGC 1252   REF290 
OC,OCC,Ast       5 Ru 146,103,166,129  REF300 
DGAL             1 Mayall II           REF5009
OC               1 Carraro 1           REF956 
EC               1 OMC 3               REF047 
Assoc            1 MBM 12A             REF200 
Ast              1 Mackie 1            REF307 
EC               1 Stephenson 2        REF069 
EC               5 Ser A,C,D,SVS2,4    REF044 
KAs              1 Pisces Assoc        REF259 
EC              10 CT = ECX clusters   REF097 
KGr              1 beta Pic Mov. Gr.   REF6779
EC               1 Lupus III           REF498 
EC,OC,ECC       44 DB 59 to DB 100     REF099 
EC               1 Gal. Nucl. Cluster  REF093 
EC               3 W 49,W 49A,W 49SW   REF106 
EC               3 KBD 1,2,3           REF135 
OC               1 Turner 5            REF268 
EC              10 Ivanov 1-10         REF110 
Ast              1 M73                 REF311 
GC               1 Whiting 1           REF402 
EC,OC            2 Stephenson 2,Pis23  REF071 
lPOCR,Ast        2 NGC 7036,NGC 7772   REF294 
EC               1 WWH 1               REF073 
OC,EC         2167 DAML02 database     REF209 
EC               1 SW 1                REF107 
EC               1 MAO 1               REF3373
KGr              1 Monoceros Ring      REF1762
EC               2 SB 1,STO 1          REF048 
EC               1 TWMM 1              REF995 
EC,OC           15 LK 1 to LK 15       REF109 
EC               2 W 40,Gum 25 Clusts  REF041 
EC,EGr           9 CBJ 1-2,3a,b,4-8    REF102 
